"Product","Instrument","Qty.","Avg.","LTP","P&L","Chg.",""
"CNC","KPEL",14,356.8,356.1,-9.8,-0.2,""
"CNC","LUPIN",2,2276.8,2284.5,15.4,0.34,""
"CNC","NAM-INDIA",4,1078.5,1078.8,1.2,0.03,""
"CNC","PRICOLLTD",18,546.5,553.6,127.8,1.3,""
