"Product","Instrument","Qty.","Avg.","LTP","P&L","Chg.",""
"CNC","APARINDS",5,10847.5,11065,1087.5,2.01,""
"CNC","BANCOINDIA",-9,572.4,574.65,-20.25,0.39,""
"CNC","ECLERX",16,1497.79,1501.1,53,0.22,""
"CNC","LIQUIDCASE",248,113.54,113.53,-2.48,-0.01,""
"CNC","M&M",-7,3150.35,3166.6,-113.75,0.52,""
"CNC","NAM-INDIA",12,898.1,897.6,-6,-0.06,""
"CNC","TATAGOLD",-6245,14.4,14.42,-124.9,0.14,""
