"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ACUTAAS",17,2591.91,2734.3,44062.4,46483.1,2420.7,5.49,0.32,""
"ADANIPOWER",459,72.15,225.33,33116.05,103426.47,70310.42,212.32,-2.11,""
"APARINDS",9,10919.56,12810,98276,115290,17014,17.31,0.07,""
"DYCL",405,325.07,421.9,131654.7,170869.5,39214.8,29.79,1.41,""
"ECLERX",25,1546.02,1668.7,38650.6,41717.5,3066.9,7.93,4.71,""
"INA",489,153.88,138.62,75245.43,67785.18,-7460.25,-9.91,-0.14,""
"NAM-INDIA",55,886.02,1096.8,48731.35,60324,11592.65,23.79,-0.96,""
"PERSISTENT",20,5016.02,5113.6,100320.4,102272,1951.6,1.95,2.6,""
"POLYCAB",10,7102.6,9079.05,71026,90790.5,19764.5,27.83,0.84,""
