"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ACUTAAS",17,2591.91,2734.3,44062.4,46483.1,2420.7,5.49,0.32,""
"ADANIPOWER",459,81.93,225.33,37606.6,103426.47,65819.87,175.02,-2.11,""
"APARINDS",9,10919.56,12810,98276,115290,17014,17.31,0.07,""
"DYCL",405,325.07,421.9,131654.7,170869.5,39214.8,29.79,1.41,""
"ECLERX",25,1546.02,1668.7,38650.6,41717.5,3066.9,7.93,4.71,""
"INA",673,150.48,138,101275.91,92874,-8401.91,-8.3,-0.54,""
"NAM-INDIA",55,886.02,1103.4,48731.35,60687,11955.65,24.53,-0.36,""
"PERSISTENT",20,5016.02,5115,100320.4,102300,1979.6,1.97,2.64,""
"POLYCAB",10,7102.6,9083,71026,90830,19804,27.88,0.89,""
