"Product","Instrument","Qty.","Avg.","LTP","P&L","Chg.",""
"CNC","ADANIPOWER",-115,227.2,225.33,215.05,-0.82,""
"CNC","INA",184,141.47,138.62,-524.4,-2.01,""
